"ログ統計レポート（サンプル / CSV）",2014-09-23 13:21:46,"","Generated by im-log-stats 1.0.16-SNAPSHOT"

期間別統計
#,集計期間▲,リクエスト数合計,リクエスト処理時間の合計(ms),リクエスト処理時間の平均値(ms),リクエスト処理時間の最小値(ms),リクエスト処理時間の中央値(ms),リクエスト処理時間の90%Line(ms),リクエスト処理時間の最大値(ms),リクエスト処理時間の標準偏差(ms),ユニークユーザ数,ユニークセッション数,有効セッション数,例外数合計,画面遷移数合計,画面遷移例外数合計,最大同時リクエスト数
20,"http://localhost:8088/imart/home",23945,2014-04-29 01:59:11.583,"aaa9VgtvzU-Qi_VaKrPwu","ueda"

リクエストURL別・処理時間合計ランク,20/808
#,リクエストURL,リクエスト回数,処理時間合計(ms)▼,処理時間平均(ms),処理時間最小値(ms),処理時間中央値(ms),処理時間90%Line(ms),処理時間最大値(ms),処理時間標準偏差(ms),リクエスト回数%,処理時間%
1,"http://localhost:8088/imart/home",46,633467,13771,55,15744,27758,29812,11911,0.21%,29%
2,"http://localhost:8088/imart/system/settings/tenant/register",2,379659,189830,104415,189829,275244,275244,85415,0.0092%,18%
3,"http://localhost:8088/imart/menu/sitemap",14,57130,4081,170,5006,7198,10978,3426,0.065%,2.6%
4,"http://localhost:8088/imart/forma(2f)designer(2f)form(5f)designer.jssprpc",257,56674,221,12,119,321,2654,447,1.2%,2.6%
5,"http://localhost:8088/imart/bis(2f)imw(2f)view(2f)apply(5f)view.jssps",73,55822,765,206,375,1959,6078,1103,0.34%,2.6%
6,"http://localhost:8088/imart/certification",41,49141,1199,23,1425,2279,2999,841,0.19%,2.3%
7,"http://localhost:8088/imart/bis/user/workflow/apply/apply_list_wf",70,32333,462,262,367,573,2421,366,0.32%,1.5%
8,"http://localhost:8088/imart/system/setup/sample",2,31140,15570,7741,15570,23399,23399,7829,0.0092%,1.4%
9,"http://localhost:8088/imart/forma/form/update_form_data/updateForm",57,27360,480,312,428,646,1267,179,0.26%,1.3%
10,"http://localhost:8088/imart/im_workflow/common/switch/switch_content",76,24583,323,188,265,527,1059,180,0.35%,1.1%
11,"http://localhost:8088/imart/component-ajax-service/listtable/session/3c8a21f9ad0060c32c33f6ace3d58a728db2af49",71,21719,306,100,149,600,2079,426,0.33%,1%
12,"http://localhost:8088/imart/forma/form/update_form_data",11,21060,1915,498,2243,2709,2988,891,0.051%,0.98%
13,"http://localhost:8088/imart/bis/admin/integration/edit_flow",11,17266,1570,623,1225,2789,3224,836,0.051%,0.8%
14,"http://localhost:8088/imart/im(5f)master(2f)common(2f)include(2f)include.jssps",21,13867,660,19,334,1515,3230,763,0.097%,0.64%
15,"http://localhost:8088/imart/forma/common/import/import_application/importApplication",2,12781,6391,2160,6390,10621,10621,4231,0.0092%,0.59%
16,"http://localhost:8088/imart/bis/common/parts/bis_iframe_sender",3,12271,4090,3665,4151,4455,4455,325,0.014%,0.57%
17,"http://localhost:8088/imart/tenant/menu/html_menu_tree",10,11948,1195,640,1236,1991,2386,527,0.046%,0.55%
18,"http://localhost:8088/imart/forma(2f)common(2f)ajax(2f)server(5f)logic.jssprpc",268,10218,38,2,7,41,3473,277,1.2%,0.47%
19,"http://localhost:8088/imart/system/login",10,10087,1009,24,1203,2385,3334,966,0.046%,0.47%
20,"http://localhost:8088/imart/forma/datasource/java/edit_java",11,8515,774,443,708,1075,1149,216,0.051%,0.39%

セッション別・処理時間合計ランク,20/110
#,セッションID,ユーザID,リクエスト回数,処理時間合計(ms)▼,処理時間平均(ms),処理時間最小値(ms),処理時間中央値(ms),処理時間90%Line(ms),処理時間最大値(ms),処理時間標準偏差(ms),リクエスト回数%,処理時間%,初回アクセス日時,最終アクセス日時
1,"aaadJQ3G2ZXPlhsewPtCu","anonymous",111,310129,2794,1,7,298,275244,26073,0.51%,14%,2014-07-08 10:45:13.189,2014-07-08 10:56:23.783
2,"aaabNV1J3UHqXhA0ldSwu","ueda",9478,294280,31,0,3,55,27090,293,44%,14%,2014-04-29 14:55:16.831,2014-04-29 19:55:43.908
3,"aaaDZDpxS_-yGfj4JOWxu","ueda",1132,137972,122,1,8,191,26249,866,5.2%,6.4%,2014-05-12 22:32:44.294,2014-05-12 22:47:35.782
4,"aaa9VgtvzU-Qi_VaKrPwu","ueda",1735,136965,79,1,6,91,23945,695,8%,6.3%,2014-04-29 01:59:11.581,2014-04-29 02:27:19.073
5,"aaamp8S2pv7k76g2HWzvu","system",41,105485,2573,1,3,24,104415,16103,0.19%,4.9%,2014-04-13 15:24:25.145,2014-04-13 15:27:03.368
6,"aaaXPMKXuRJbLfLT-LZyu","ueda",751,104877,140,1,3,143,28449,1195,3.5%,4.9%,2014-05-25 22:36:08.964,2014-05-25 22:47:17.735
7,"aaarOILiqlh2CcqyeITwu","ueda",663,87731,132,1,9,196,15416,692,3.1%,4.1%,2014-04-29 21:49:37.895,2014-04-29 22:14:39.537
8,"aaaqtE6mMgs4u8Wl3yPwu","ueda",1490,85806,58,0,4,80,24982,667,6.9%,4%,2014-04-29 02:31:05.788,2014-04-29 04:09:35.437
9,"aaaKAF6f8z3Lt8mZGlFCu","ueda",548,67893,124,1,6,161,28275,1246,2.5%,3.1%,2014-07-10 16:30:47.627,2014-07-10 17:01:56.441
10,"aaaoIuj8Ljrea9q3MB9xu","ueda",435,58558,135,1,8,193,25559,1265,2%,2.7%,2014-05-15 10:11:12.452,2014-05-15 10:16:19.671
11,"aaaFErBMhXqZocepb0_xu","ueda",308,54295,176,1,7,185,27657,1598,1.4%,2.5%,2014-05-15 16:37:30.098,2014-05-15 16:42:45.558
12,"aaaM18nww_ZDGfP4Uchzu","ueda",308,53696,174,1,4,144,27758,1608,1.4%,2.5%,2014-05-29 17:14:27.331,2014-05-29 17:41:55.539
13,"aaasrkW7d229waMOKGrDu","ueda",203,51671,255,1,10,206,26897,1966,0.94%,2.4%,2014-07-20 11:03:48.840,2014-07-20 11:34:17.329
14,"aaaMyl5uppzzSbt-bjTwu","ueda",332,50538,152,1,10,91,24731,1405,1.5%,2.3%,2014-04-29 20:00:24.366,2014-04-29 20:06:25.921
15,"aaa8ui4iixKwg7QzVSWxu","ueda",104,40881,393,2,10,315,26886,2637,0.48%,1.9%,2014-05-12 22:51:01.376,2014-05-12 22:51:49.673
16,"aaa3vsRcBXx3re3I1qOvu","ueda",373,40374,108,1,3,18,26476,1376,1.7%,1.9%,2014-04-16 11:00:44.278,2014-04-16 11:34:32.428
17,"aaaFM04gtGwvL_fiV5IBu","anonymous",112,39259,351,2,9,113,24948,2420,0.52%,1.8%,2014-06-28 23:35:51.842,2014-06-28 23:37:19.126
18,"aaaoWL-rEux387LJa2gzu","ueda",132,38431,291,1,5,208,29812,2585,0.61%,1.8%,2014-05-29 16:18:54.058,2014-05-29 16:22:12.457
19,"aaacOfoFkpDHXdi4LouCu","ueda",91,35938,395,2,7,100,28341,2965,0.42%,1.7%,2014-07-08 13:28:26.570,2014-07-08 14:08:04.441
20,"aaa0ow7YmHm2BaLhlTtCu","tenant",97,33472,345,2,6,302,20338,2147,0.45%,1.6%,2014-07-08 11:02:16.342,2014-07-08 11:03:47.120

テナント別統計
#,テナントID▲,リクエスト数合計,リクエスト処理時間の合計(ms),リクエスト処理時間の平均値(ms),リクエスト処理時間の最小値(ms),リクエスト処理時間の中央値(ms),リクエスト処理時間の90%Line(ms),リクエスト処理時間の最大値(ms),リクエスト処理時間の標準偏差(ms),ユニークユーザ数,ユニークセッション数,画面遷移数合計,画面遷移例外数合計,最大同時リクエスト数
1,"",40,1070,27,1,2,23,725,113,1,0,41,0,5
2,"default",20913,1768441,85,0,4,85,104415,1130,5,0,22271,16,6
3,"tenant2",679,389004,573,1,4,168,275244,10645,4,0,747,0,6

例外
#,レベル,発端のCaused byの1行目,回数▼
1,"INFO","oracle.net.ns.NetException: Listener refused the connection with the following error:",17
2,"ERROR","jp.co.intra_mart.common.aid.jsdk.javax.servlet.exception.ForbiddenException: [E.IWP.LICENSE.SYSTEM.00018] ライセンスの有効期間が切れているため、アクセスできません。",13
3,"WARN","jp.co.intra_mart.system.router.authz.InvalidConfigurationException: [E.IWP.ROUTER.AUTHZ.00020] Mapper(welcome-all) which does not exist is specified.",5
4,"WARN","java.lang.RuntimeException: resource: iwp/platform/schema/exists_table.sql is not found.",5
5,"ERROR","java.lang.RuntimeException: Unsupported database type. (type : OTHER)",4
6,"ERROR","jp.co.intra_mart.system.secure.license.exception.OverMaxLicenseException: [E.IWP.LICENSE.USER.00001] ライセンス数の上限を超えた為、登録できませんでした。",2
7,"WARN","java.lang.NoClassDefFoundError: Could not initialize class jp.co.intra_mart.foundation.router.RouterFactory$LazyHolder",2
8,"ERROR","jp.co.intra_mart.common.aid.jsdk.javax.servlet.exception.ForbiddenException: [E.IWP.LICENSE.SYSTEM.00019] アプリケーション「intra-mart Accel Collaboration[CSUSD]」のライセンスが設定されていないため、アクセスできません。",1
9,"ERROR","java.lang.NullPointerException",1

解析対象ログファイル
種類,ファイルパス/個数
リクエストログ,"C:\imart\resin-pro-4.0.37.2014spring\webapps\imart\WEB-INF\log\platform\request.log"
画面遷移ログ,"C:\imart\resin-pro-4.0.37.2014spring\webapps\imart\WEB-INF\log\platform\transition.log"
エラーログ,55ファイル

レポートパラメータ
項目名,値
バージョン,"8.0.7"
開始時刻,-
終了時刻,2014/08/01 00:00
テナントID,-
ログファイルの文字コード,"UTF-8"
リクエストログレイアウト,"[%d{yyyy-MM-dd HH:mm:ss.SSS}]	[%thread]	%X{log.report.sequence}	%-5level	%logger{255}	%X{tenant.id}	%X{log.id}	-	%X{client.session.id}	%X{request.remote.host}	%X{request.method}	%X{request.url}	%X{request.query_string}	%X{request.url.referer}	%X{request.page.time}	%X{request.accept.time}	%X{request.id}%nopex%n"
画面遷移ログレイアウト,"[%d{yyyy-MM-dd HH:mm:ss.SSS}]	[%thread]	%X{log.report.sequence}	%-5level	%logger{255}	%X{tenant.id}	%X{log.id}	-	%X{transition.log.type.id}	%X{request.remote.address}	%X{request.remote.host}	%X{transition.access.user.id}	%X{client.session.id}	%X{transition.path.page.next}	%X{transition.time.response}	%X{transition.exception.name}	%X{transition.exception.message}	%X{transition.path.page.previous}	%X{request.id}%nopex%n"
期間別統計の間隔,60分
セッションタイムアウト時間,30分
リクエスト処理時間ランクの出力件数,20
リクエストURLランクの出力件数,20
セッションランクの出力件数,20
例外のグルーピング方法,発端のCaused byの1行目
